system:index,Aspect,Eastness,Elevation,GaussianCurvature,HAND,Hillshade,HorizontalCurvature,MaximalCurvature,MeanCurvature,MinimalCurvature,Northness,PRCPTOT,ShapeIndex,Slope,TPI,VerticalCurvature,lineament,presence,.geo
0000000000000000040b_0,334.7279596397694,-0.4269166312921041,576.0831581085049,6.953666985129956E-8,1.1655798,0.9971950364827304,-6.774435161223251E-4,-5.8618674252869764E-5,-6.224366189831661E-4,-0.0011862545637134625,0.9042909874184314,1612.1025,-0.7028074618658332,4.308957326163373,-44,-5.674297218440074E-4,0.6675915,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000041a_0,348.9127792586458,-0.19230309408653376,894.7526817633686,-7.286579562997526E-7,194.5401,0.9580743743907569,-8.642748230492803E-4,3.046937795649603E-4,-0.0010433748563918681,-0.0023914434923486966,0.9813355797099919,1612.1025,-0.49272940995232895,16.712864119743013,16,-0.001222474889734456,1.0946897,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000440_0,352.4346661638171,-0.1316566423264857,780.4476301830165,-6.0456700685337085E-6,13.832638,0.9669065520441383,-0.0025288436432331753,0.0020500593312384836,-4.494813342359172E-4,-0.0029490219997103176,0.9912953790527401,1612.1025,-0.11448051581526751,14.854766725607634,-29,0.0016298809747613409,1.2745771,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000444_0,354.4798469413504,-0.09619586448339057,743.0489409155017,-4.7542933933679575E-6,50.877724,0.9239859938491748,0.0010552614284424651,0.0014896230597012073,-8.509926443683382E-4,-0.003191608348437884,0.9953624242738386,1612.1025,-0.23145992851467279,22.563713170499533,-68,-0.0027572467171791413,1.9015478,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000074b_0,357.5617959952709,-0.04254184515646069,555.9851827911288,-1.150446309154643E-6,32.922817,0.9412379693141736,5.944087887275376E-4,7.246363152315655E-4,-4.314912920162061E-4,-0.0015876188992639778,0.9990946859085398,1588.4065,-0.23759997285756376,19.827760818614202,-40,-0.0014573913727599498,1.0516508,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000075c_0,8.783053067433844,0.15269353163151742,505.68757079791465,-5.123744998787628E-8,1.4290454,0.9964776626768088,-9.640358361700765E-5,5.185720426984815E-5,-4.680958126913473E-4,-9.880488296525427E-4,0.9882735883336632,1588.4065,-0.5731268787772482,4.9264719967082335,-57,-8.39788041765687E-4,1.1442133,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000780_0,181.63337451836932,-0.028503902079408023,1014.8455398639203,2.0153444175124635E-6,249.64171,0.8871940508192078,-0.0037157192638671475,-5.764686662911122E-4,-0.002036242972087547,-0.0034960172778839816,-0.9995936812356546,1602.0305,-0.8880225746049212,27.376945060433027,41,-3.567666803079462E-4,0.0,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a39_0,4.716733037131365,0.08222956968366751,752.6330288264331,3.421191376495538E-7,12.330239,0.9620640895877284,-3.6900014574375086E-4,-1.9528508250690334E-4,-9.735904970771122E-4,-0.001751895911647321,0.9966134144539892,1612.1025,-0.7963544246582656,15.9396488051235,-63,-0.0015781808484104738,2.2455008,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a73_0,4.943315680573604,0.08617013693924064,967.9295948204531,-9.789920158291286E-7,98.632324,0.9366652834477588,-0.0019249390269522595,4.7867029460504126E-4,-7.8328107399121E-4,-0.002045232442587461,0.9962804361724025,1612.1025,-0.39514376816184393,20.609165269143112,-15,3.5837687896984E-4,1.5043523,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a9f_0,322.42271782408653,-0.6098309724475961,994.0451009615745,-1.5783369851476866E-6,147.49979,0.9690196396722386,-9.562791949589566E-4,5.715658380701233E-4,-0.0010949302727093042,-0.0027614263834887316,0.7925315041331917,1612.1025,-0.4182753601774418,14.279315344002997,21,-0.0012335813504596516,1.4959053,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000d3d_0,9.825758318688424,0.17065248928722881,409.0348079786545,-3.695055473097078E-7,63.81149,0.9235637493459404,1.9003546521003192E-4,3.8712949888200217E-4,-2.83672904079086E-4,-9.544753070401742E-4,0.9853312782511637,1588.332,-0.26921755024207067,22.66740448045398,-26,-7.573812733682041E-4,0.5487683,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000090_0,15.531771641630442,0.2677726870870514,946.142669211873,-4.5977336481532747E-7,160.16165,0.9390247830780339,-4.046090340417971E-4,7.312107100685024E-4,5.1213512515796966E-5,-6.287836850369084E-4,0.9634821161029301,1612.1025,0.047946572128959246,20.244720824001337,6,5.07036059073391E-4,1.9402578,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000182_0,298.20279359483476,-0.8812804106576302,1297.4392071367135,-1.7833602032182517E-7,250.89424,0.9313278702840099,-0.001074694681849645,1.6360201623070384E-4,-4.632290117786089E-4,-0.0010900600397879216,0.47259373439680585,1341.8206,-0.47046290763413895,21.265446225712623,39,1.4823665829242724E-4,0.867913,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000024b_0,41.879056982205405,0.6675604466711516,925.5111601351377,-1.31321009113037E-7,147.55652,0.9149652432861399,3.5946764484462646E-4,3.6624342003341455E-4,3.840660952322992E-6,-3.5856209812876855E-4,0.7445556057409095,1343.4415,0.0067467496864774615,23.97361856174814,-61,-3.5178632293998057E-4,0.78025067,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
